icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
ab40ce,1749256237.0,KBOS,1749259259,KEWR,RPA5718 ,934.0,9.0,1137,40,0,5
a495e9,1749246023.0,TJSJ,1749259169,KEWR,FFT3574 ,4176.0,568.0,1223,47,1,5
a1d49e,1749258226.0,KEWR,1749259137,KEWR,N217MH  ,5811.0,85.0,5642,47,1,5
a097cc,1749240084.0,KSNA,1749259103,KEWR,UAL1383 ,1942.0,196.0,393,5,0,5
896454,1749222543.0,LGAV,1749258894,KEWR,UAE34E  ,11098.0,927.0,306,9,0,5
a123bf,1749254170.0,KRDU,1749258719,KEWR,UAL1726 ,1718.0,187.0,1238,47,1,5
a92362,1749252913.0,KORD,1749258616,KEWR,UAL534  ,2296.0,138.0,1063,40,0,5
4951f0,1749232392.0,LPPT,1749258438,KEWR,TAP203  ,3221.0,335.0,1076,40,2,5
a3cf4f,1749250074.0,KMCO,1749258293,KEWR,UAL1557 ,10110.0,702.0,1057,40,0,5
a63f8b,1749255655.0,KBED,1749258192,KEWR,VJA501  ,1497.0,165.0,778,32,0,5
a2682a,1749252221.0,KSDF,1749258012,KEWR,UPS5076 ,1872.0,342.0,1061,40,2,5
a8e4e9,1749229915.0,EGLL,1749257886,KEWR,UAL921  ,1417.0,172.0,1069,47,2,5
a1277b,1749239472.0,KLAS,1749257699,KEWR,UAL1298 ,482.0,5.0,1185,47,1,5
a776b2,1749243864.0,TJSJ,1749257609,KEWR,JBU1890 ,3339.0,423.0,1356,63,1,5
a12753,1749248449.0,,1749257536,KEWR,UAL2389 ,,,849,40,0,5
39b10b,1749229256.0,LFPO,1749257369,KEWR,FBU20J  ,3788.0,109.0,1189,55,1,5
a1ad1f,1749255448.0,KEWR,1749257241,KEWR,N207MH  ,5676.0,70.0,5909,40,1,5
a16ee0,1749238539.0,KLAX,1749257213,KEWR,UAL1950 ,1033.0,167.0,393,24,2,5
aa7ec3,1749253632.0,,1749257034,KEWR,UAL1526 ,,,1046,40,0,5
a69894,1749249257.0,KMCO,1749256851,KEWR,JBU1728 ,10159.0,626.0,1049,47,0,5
ac30c0,1749254777.0,KJFK,1749256618,KEWR,DAL2312 ,965.0,34.0,1046,47,0,5
a2239c,1749255116.0,KEWR,1749256529,KEWR,N237MH  ,5537.0,78.0,5657,55,1,5
49530a,1749229985.0,LPPR,1749256453,KEWR,TAP211  ,2288.0,204.0,1076,47,1,5
a8d5a0,1749253643.0,KIAD,1749256253,KEWR,UAL2398 ,1497.0,19.0,414,9,2,5
a1d49e,1749254620.0,KEWR,1749256199,KEWR,N217MH  ,5717.0,93.0,6028,40,1,5
aa7f27,1749246908.0,KMIA,1749256059,KEWR,UAL1386 ,2880.0,149.0,814,32,1,5
c00b78,1749252500.0,CYUL,1749255957,KEWR,JZA944  ,2673.0,238.0,843,32,0,5
a4945f,1749231955.0,KIAH,1749255776,KEWR,UAL1053 ,3937.0,298.0,1061,47,0,5
a4c03c,1749254728.0,KEWR,1749255606,KEWR,405LP   ,5507.0,78.0,5726,55,1,5
c01a13,1749247991.0,TXKF,1749255601,KEWR,WJA9146 ,615.0,19.0,1479,70,0,5
ab7da4,1749253134.0,KJFK,1749255329,KEWR,N84BL   ,2890.0,26.0,5688,55,0,5
aa2bc2,1749247067.0,KTPA,1749255310,KEWR,UAL1393 ,1257.0,15.0,1106,40,2,5
a44916,1749243252.0,,1749254959,KEWR,UAL665  ,,,858,32,0,5
a6837d,1749252334.0,KDCA,1749254868,KEWR,GJS4560 ,1071.0,155.0,770,40,2,5
a85119,1749252774.0,KPHL,1749254718,KEWR,JBU128  ,3854.0,423.0,799,24,3,5
a445cd,1749251828.0,KIAD,1749254636,KEWR,UAL591  ,1164.0,3.0,411,9,2,5
a0a522,1749251721.0,KIAD,1749254458,KEWR,UAL3917 ,1174.0,11.0,389,24,2,5
a445ef,1749221481.0,KORD,1749254187,KEWR,UAL1270 ,1067.0,21.0,364,2,0,5
a2b198,1749244827.0,,1749254037,KEWR,UAL1560 ,,,1072,47,0,5
c060b3,1749249745.0,CYOW,1749253916,KEWR,PTR2339 ,2297.0,129.0,1078,47,1,5
a21dc4,1749237633.0,KSFO,1749253709,KEWR,UAL2209 ,320.0,3.0,1538,70,0,5
a8ec57,1749223651.0,EDDF,1749253641,KEWR,UAL75   ,2063.0,79.0,1424,70,1,5
a7fb19,1749249522.0,KRDU,1749253568,KEWR,NKS2654 ,1712.0,96.0,1428,63,1,5
40621c,1749226740.0,EGLL,1749253409,KEWR,BAW189  ,1590.0,157.0,1513,63,2,5
a9b4a4,1749249330.0,CYYZ,1749253332,KEWR,RPA3705 ,1196.0,1.0,1485,63,0,5
a46d95,1749241181.0,KDEN,1749253235,KEWR,UAL1505 ,3430.0,13.0,1458,63,4,5
a5fa9f,1749251475.0,KEWR,1749253179,KEWR,N4846   ,5537.0,70.0,5422,78,1,5
a0cdf3,1749248202.0,KCLT,1749253097,KEWR,AAL1330 ,2242.0,259.0,1551,63,0,5
a80777,1749251973.0,KEWR,1749252991,KEWR,N6160Y  ,5735.0,70.0,5032,63,1,6
a73665,1749249278.0,CYOW,1749252923,KEWR,GJS4572 ,1529.0,61.0,1646,85,0,5
a64d22,1749248802.0,KRDU,1749252812,KEWR,N505GJ  ,1485.0,80.0,1645,63,1,5
a4df4b,1749248551.0,KHEF,1749252715,KEWR,CNS210  ,475.0,93.0,1540,63,5,5
040048,1749161873.0,,1749252518,KEWR,ETH514  ,,,1466,55,0,5
a441ac,1749236861.0,MMMX,1749252427,KEWR,UAL2252 ,6138.0,551.0,1639,70,0,5
ad8fa4,1749249400.0,,1749252178,KEWR,JBU1016 ,,,1390,55,0,5
a448d6,1749235893.0,KPHX,1749252075,KEWR,UAL2478 ,1243.0,19.0,1551,63,1,5
3c6716,1749220781.0,EDDM,1749251952,KEWR,DLH412  ,1151.0,26.0,1404,70,0,5
a39c62,1749233580.0,KLAX,1749251800,KEWR,UAL2127 ,786.0,99.0,1532,78,2,5
a3572b,1749249000.0,KFOK,1749251305,KEWR,N314RG  ,2496.0,223.0,5372,55,2,5
add376,1749232398.0,KLAX,1749251232,KEWR,JBU1874 ,630.0,68.0,1511,63,2,5
4cc279,1749230164.0,BIKF,1749250844,KEWR,ICE623  ,476.0,100.0,1428,63,0,5
a8e132,1749222893.0,EGLL,1749250728,KEWR,UAL941  ,1286.0,188.0,1458,70,2,5
a46ce1,1749239464.0,KIAH,1749250601,KEWR,UAL1168 ,2859.0,183.0,1707,70,0,5
aa7f06,1749219561.0,KEWR,1749250473,KEWR,UAL1473 ,225.0,2.0,1524,70,1,5
a40aa8,1749248224.0,,1749250402,KEWR,N36HF   ,,,6013,70,0,5
ac6445,1749239032.0,KDFW,1749250360,KEWR,AAL2861 ,1876.0,127.0,1546,63,2,5
a2bc5a,1749241233.0,,1749250118,KEWR,UAL1206 ,,,1663,70,0,5
a8fc06,1749238053.0,KAUS,1749249923,KEWR,UAL1232 ,1538.0,20.0,1481,63,3,5
a2b134,1749238111.0,KIAH,1749249830,KEWR,UAL1397 ,2886.0,130.0,1490,63,0,5
a2a3d2,1749233384.0,KSFO,1749249677,KEWR,UAL2194 ,317.0,3.0,1577,70,0,5
ab3633,1749248440.0,KLGA,1749249618,KEWR,N821SS  ,9240.0,31.0,6704,101,1,6
a4dad4,1749231727.0,KSFO,1749249573,KEWR,UAL2645 ,245.0,11.0,1521,78,0,5
a39630,1749242311.0,KATL,1749249441,KEWR,DAL2340 ,1180.0,15.0,1544,63,1,5
a2bbcc,1749239582.0,KMCO,1749249203,KEWR,UAL2321 ,9645.0,610.0,1558,70,0,5
a12733,1749224330.0,KEWR,1749248912,KEWR,UAL1539 ,1698.0,47.0,1543,63,1,5
a2a686,1749230400.0,KSFO,1749248788,KEWR,ASA299  ,362.0,3.0,1488,55,0,5
aa1635,1749244851.0,KPWM,1749248635,KEWR,RPA3620 ,814.0,75.0,1080,40,3,5
adb29c,1749230085.0,KSEA,1749248526,KEWR,ASA398  ,1010.0,35.0,1397,63,2,5
a8d3b4,1749221055.0,EGLL,1749248437,KEWR,UAL15   ,1112.0,149.0,1536,70,2,5
aa7e9a,1749232638.0,TNCA,1749248352,KEWR,UAL1043 ,1494.0,134.0,1607,70,0,5
ab942f,1749239754.0,KJAX,1749248287,KEWR,UAL1579 ,660.0,67.0,1050,40,0,5
a16ebc,1749236943.0,KDEN,1749248191,KEWR,UAL2853 ,4897.0,51.0,1315,63,5,5
a5cc12,1749240813.0,,1749248105,KEWR,UAL727  ,,,1634,70,0,5
a12732,1749235670.0,,1749248036,KEWR,UAL1287 ,,,1465,55,0,5
